RBGO00445	InfoGenius Systems - Personal Organizer (USA)
RBGO00446	InfoGenius Systems - Spell Checker and Calculator (USA)
RBGO00447	Initial D Gaiden (Japan)
RBGO00448	International Superstar Soccer (USA, Europe) (SGB Enhanced)
RBGO00449	International Superstar Soccer (USA, Europe)
RBGO00450	Ironman X-O Manowar in Heavy Metal (USA, Europe)
RBGO00451	Ishida Yoshio Tsumego Paradise (Japan)
RBGO00452	Ishido - The Way of Stones (Japan)
RBGO00453	Ishido - The Way of Stones (USA)
RBGO00454	Itchy & Scratchy in Miniature Golf Madness! (USA, Europe)
RBGO00455	J-League Big Wave Soccer (Japan)
RBGO00456	J-League Fighting Soccer - The King of Ace Strikers (Japan)
RBGO00457	J-League Live '95 (Japan)
RBGO00458	J-League Winning Goal (Japan)
RBGO00459	Jack Nicklaus Golf (France)
RBGO00460	Jack Nicklaus Golf (USA, Europe)
RBGO00461	James Bond 007 (USA, Europe) (SGB Enhanced)
RBGO00462	James Bond 007 (USA, Europe)
RBGO00463	Jankenman (Japan)
RBGO00464	Jeep Jamboree (USA)
RBGO00465	Jelly Boy (Europe)
RBGO00466	Jeopardy! - Platinum Edition (USA) (SGB Enhanced)
RBGO00467	Jeopardy! - Platinum Edition (USA)
RBGO00468	Jeopardy! - Sports Edition (USA)
RBGO00469	Jeopardy! - Teen Tournament (USA) (SGB Enhanced)
RBGO00470	Jeopardy! - Teen Tournament (USA)
RBGO00471	Jeopardy! (USA)
RBGO00472	Jetsons, The - Robot Panic (USA, Europe)
RBGO00473	Jimmy Connors Tennis (USA, Europe)
RBGO00474	Joe & Mac - Caveman Ninja (Europe) (En,Fr,De,Es,It,Nl,Sv)
RBGO00475	Joe & Mac (USA)
RBGO00476	Jordan vs Bird - One on One (Japan)
RBGO00477	Jordan vs Bird - One on One (USA, Europe)
RBGO00478	Joshua & the Battle of Jericho (USA) (Unl)
RBGO00479	Judge Dredd (Japan)
RBGO00480	Judge Dredd (USA, Europe)
RBGO00481	Jungle Book, The (USA, Europe)
RBGO00482	Jungle no Ouja Tarchan (Japan)
RBGO00483	Jungle Strike (USA, Europe)
RBGO00484	Jurassic Park (Europe) (En,Fr,De,Es,It)
RBGO00485	Jurassic Park (USA)
RBGO00486	Jurassic Park Part 2 - The Chaos Continues (USA, Europe) (En,Fr,De,It)
RBGO00487	Jurassic Park Part 2 - The Chaos Continues (USA, Europe)
RBGO00488	Kaeru no Tame ni Kane wa Naru (Japan) (Translated En)
RBGO00489	Kaijuu Ou Godzilla (Japan)
RBGO00490	Kamen Rider SD - Hashire! Mighty Riders (Japan)
RBGO00491	Karakuri Kengou Den - Musashi Road (Japan) (Translated En)
RBGO00492	Karamuchou no Daijiken (Japan)
RBGO00493	Kattobi Road (Japan)
RBGO00494	Ken Griffey Jr. Presents Major League Baseball (USA, Europe) (SGB Enhanced)
RBGO00495	Ken Griffey Jr. presents Major League Baseball (USA, Europe)
RBGO00496	Kenyuu Densetsu Yaiba (Japan)
RBGO00497	Kid Dracula (USA, Europe)
RBGO00498	Kid Icarus - Of Myths and Monsters (USA, Europe)
RBGO00499	Killer Instinct (USA, Europe) (SGB Enhanced)
RBGO00500	Killer Instinct (USA, Europe)
RBGO00501	King James Bible (USA) (Unl)
RBGO00502	King of Fighters '95, The (Europe) (SGB Enhanced)
RBGO00503	King of Fighters '95, The (USA) (SGB Enhanced)
RBGO00504	King of Fighters '95, The (USA)
RBGO00505	King of Fighters, The - Heat of Battle (Europe) (SGB Enhanced)
RBGO00506	King of Fighters, The - Heat of Battle (Europe)
RBGO00507	King of the Zoo (Europe)
RBGO00508	Kingdom Crusade (USA)
RBGO00509	Kinin Koumaroku Oni (Japan) (Translated En)
RBGO00510	Kinnikuman - The Dream Match (Japan)
RBGO00511	Kirby's Block Ball (USA, Europe) (SGB Enhanced)
RBGO00512	Kirby's Block Ball (USA, Europe)
RBGO00513	Kirby's Dream Land (USA, Europe)
RBGO00514	Kirby's Dream Land 2 (USA, Europe) (SGB Enhanced)
RBGO00515	Kirby's Dream Land 2 (USA, Europe)
RBGO00516	Kirby's Pinball Land (USA, Europe)
RBGO00517	Kirby's Star Stacker (USA, Europe) (SGB Enhanced)
RBGO00518	Kirby's Star Stacker (USA, Europe)
RBGO00519	Kitchen Panic (Japan)
RBGO00520	Kiteretsu Daihyakka - Bouken Ooedo Juraki (Japan)
RBGO00521	Klax (Japan)
RBGO00522	Klax (USA)
RBGO00523	Knight Quest (Japan)
RBGO00524	Knight Quest (USA)
RBGO00525	Koi wa Kakehiki (Japan)
RBGO00526	Konami GB Collection Vol.1 (Japan)
RBGO00527	Konami GB Collection Vol.2 (Japan)
RBGO00528	Konami GB Collection Vol.3 (Japan)
RBGO00529	Konami GB Collection Vol.4 (Japan)
RBGO00530	Konami Golf (Europe)
RBGO00531	Koro Dice (Japan)
RBGO00532	Krusty's Fun House (USA, Europe)
RBGO00533	Kuma no Puutarou - Takara Sagashi da Ooiri Game Battle! (Japan)
RBGO00534	Kung-Fu Master (USA, Europe)
RBGO00535	Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan)
RBGO00536	Kuusou Kagaku Sekai Gulliver Boy - Kuusou Kagaku Puzzle Purittopon!! (Japan)
RBGO00537	Kwirk - He's A-maze-ing! (USA, Europe)
RBGO00538	Kwirk (USA, Europe)
RBGO00539	Lamborghini American Challenge (USA, Europe)
RBGO00540	Last Action Hero (USA, Europe)
RBGO00541	Lawnmower Man, The (Europe)
RBGO00542	Lazlos' Leap (USA)
RBGO00543	Legend of Prince Valiant, The (Europe) (En,Fr,De)
RBGO00544	Legend of the River King GB (Australia) (SGB Enhanced)
